Vulnerability,Category,Length
"from django.utils.translation import gettext as _import magic, mimetypes    createaccountformtext, standardformtext, loginformtext",open_redirect,11
"    query = ""str$id""""str$id""""str$id""""str$id""\""str$id""    cursor = g.conn.execute(query)",sql_injection,6
"        self.asserttrue(            self.client.login(username=""str$id"", password=""str$id""))",xsrf,3
    return [line.strip().decode() for line in stdout.splitlines()],command_injection,6
"            warn(""str$id"", marker, ""str$id"", i)        super(heading, self).__init__(heading.formats[i] % txt[num%id])        debug(""str$id"", i, marker, txt[num%id])",command_injection,12
from django.core.exceptions import objectdoesnotexist,path_disclosure,4
"        set is_deleted=""str$id""        where id=""str$id"";    ""str$id""' % (status, id)",sql_injection,8
"    except(psycopg2.databaseerror, e):",sql_injection,2
"            query = ""str$id"".format(data)                cursor.execute(query)",sql_injection,4
            data=none),xsrf,1
"    url_helper.urllib2.urlopen(mox.strcontains(url),",xsrf,1
    swarming_server: xsrfremote instance.,xsrf,3
"    def _expected_command(self, name, store=none, verify_xss=false):",xss,5
"            cwd = ""str$id"".join((cwd, piece))",path_disclosure,4
"        username = request.form[""str$id""] # fixme sql_injection danger?        result = cur.execute(""str$id"", [username])            data = cur.fetchone() # fixme fucking stupid username is not primary key",sql_injection,23
"            if rc == rc_ok:                if vlevel > num%id:                    print ""str$id""            elif rc == rc_runtime_error:                for nodes, msg in fs.proxy_errors:                    print ""str$id"" % (nodes, msg)",remote_code_execution,24
"        response = self.client.post(url)        response = self.client.get(url)        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.get(url)        response = self.client.get(url)        response = self.client.get(url)        response = self.client.get(url)        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.get(url)        response = self.client.get(url)        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.get(url)        response = self.client.get(url)        response = self.client.post(url)        response = self.client.get(url)        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.get(url)        response = self.client.get(url)        response = self.client.get(url)        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.get(url)        response = self.client.get(url)        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.get(url)        response = self.client.get(url)        response = self.client.post(url)        response = self.client.get(url)        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.get(url)        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.get(url)        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.get(url)        response = self.client.post(url)        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.post(url)        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.get(url)",xsrf,161
"            response = self.client.get(f""str$id"" % et.data_document_id, follow=true)            self.assertequal(response.status_code, num%id)",open_redirect,8
"		list_context.sub_title = _(""str$id"").format(frappe.local.form_dict.txt)",xss,3
"        self.asserttrue(            self.client.login(username=""str$id"", password=""str$id""))        response = self.client.get(""str$id"")        self.asserttrue(            self.client.login(username=""str$id"", password=""str$id""))        response = self.client.get(""str$id"")            response = self.client.get(""str$id"".format(app_id, model))        self.asserttrue(            self.client.login(username=""str$id"", password=""str$id""))        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        self.asserttrue(            self.client.login(username=""str$id"", password=""str$id""))        response = self.client.get(""str$id"")            response = self.client.get(""str$id"".format(app_id, model))        response = self.client.get(""str$id"")        self.asserttrue(            self.client.login(username=""str$id"", password=""str$id""))        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        self.asserttrue(            self.client.login(username=""str$id"", password=""str$id""))        response = self.client.get(""str$id"")        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        self.asserttrue(            self.client.login(username=""str$id"", password=""str$id""))        response = self.client.get(""str$id"")        response = self.client.delete(url, content_type=""str$id"")        self.asserttrue(            self.client.login(username=""str$id"", password=""str$id""))        response = self.client.delete(url, content_type=""str$id"")        self.asserttrue(            self.client.login(username=""str$id"", password=""str$id""))        response = self.client.get(""str$id"")        self.asserttrue(            self.client.login(username=""str$id"", password=""str$id""))        response = self.client.delete(url, content_type=""str$id"")        response = self.client.get(""str$id"")        response = self.client.post(url, json.dumps(body), content_type=""str$id"")            ""str$id"".format(app_id), content_type=""str$id"")        response = self.client.get(""str$id"")        response = self.client.get(""str$id"")        self.asserttrue(            self.client.login(username=""str$id"", password=""str$id""))            ""str$id"".format(app_id), content_type=""str$id"")",xsrf,107
"			command = ""str$id"".format(table_name, pth)			result = self._run_command(command)",sql_injection,7
"          ""str$id"": {""str$id"": ""str$id""},",xsrf,3
"        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        self.assertequal(self.client.put(url).status_code, num%id)        self.assertequal(self.client.patch(url).status_code, num%id)        self.assertequal(self.client.delete(url).status_code, num%id)",xsrf,11
"logging.basicconfig(level = logging.error, format = ""str$id"")",remote_code_execution,6
"        url(r""str$id"",        url(r""str$id"",        url(r""str$id"",        url(r""str$id"",        url(r""str$id"",        url(r""str$id"",        url(r""str$id"",        url(r""str$id"",",xss,8
"	nastyext = template[""str$id""]	nastymime = getmime(extensions,nastyext)	nastyextvariants = template[""str$id""]	for t in techniques :		for nastyvariant in [nastyext]+nastyextvariants :			for legitext in up.validextensions :				legitmime = getmime(extensions,legitext)				mime = legitmime if t[""str$id""] == ""str$id"" else nastymime				suffix = t[""str$id""].replace(""str$id"",legitext).replace(""str$id"",nastyvariant)				attempts.append({""str$id"":suffix,""str$id"":mime,""str$id"":template[""str$id""]})",remote_code_execution,40
"                                     ""str$id"", p2_code)        cursor.execute(""str$id"", p2)",sql_injection,4
"                if node not in path:                    dfs_recur(node, path)    dfs_recur(num%id, [num%id])",path_disclosure,9
"                (""str$id"", models.onetoonefield(parent_link=true, auto_created=true, primary_key=true, serialize=false, to=""str$id"")),",sql_injection,6
"    def _create_3par_fibrechan_host(self, hostname, wwn, domain, persona_id):        out = self.common._cli_run(""str$id""                                   % (persona_id, domain,                                      hostname, ""str$id"".join(wwn)), none)    def _modify_3par_fibrechan_host(self, hostname, wwn):        out = self.common._cli_run(""str$id""                                   % (hostname, ""str$id"".join(wwn)), none)",command_injection,26
"        response = self.client.post(url)        response = self.client.get(url)        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        self.client.login(username=""str$id"", password=""str$id"")        response = self.client.post(url)        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        self.client.login(username=""str$id"", password=""str$id"")        response = self.client.post(url, json.dumps(body), content_type=""str$id"")",xsrf,48
"    if ""str$id"" in target:    path = os.path.join(paths.sqlmap_output_path, target)    if os.path.exists(path):",path_disclosure,10
"			(""str$id"", ""str$id""), (""str$id"", none), (""str$id"", none)])",command_injection,6
"    runs a command in shell and returns the read stdout and stderr data.    this function waits for the process to exit.    :param command: the command to run on shell.                    that is used to spawn the process (except `shell`,                    `stdout`, `stderr`, `stdin` and `universal_newlines`, a                    `typeerror` is raised then).",command_injection,48
"        self.asserttrue(            self.client.login(username=""str$id"", password=""str$id""))",xsrf,3
"def querydb(conn,sql_select):    cur.execute(sql_select)    rows=cur.fetchall()    return rowsdef insertdb(conn,sql_insert):    result=cur.execute(sql_insert)    conn.commit()    print(""str$id"")    return resultdef deletedb(conn,sql_delete):    result=cur.execute(sql_delete)    conn.commit()    print(""str$id"")    return resultdef updatedb(conn,sql_update):    result=cur.execute(sql_update)    conn.commit()    print(""str$id"")    return result",sql_injection,24
"        sql = ""str$id"".format(listing_tags_table_name, str((listing_id, x)))        cur.execute(sql)",sql_injection,6
"            query = ""str$id""""str$id""\""str$id""""str$id""\""str$id""""str$id""\""str$id""""str$id""\""str$id""""str$id""\""str$id""            print(query)            cursor.execute(query)    return json.dumps([event_id])",sql_injection,7
"            if ""str$id"" in item:",sql_injection,4
"        out = self._cli_run(""str$id"", none)",command_injection,4
"    license_dirs = [ ""str$id"", ""str$id"", ""str$id"" ]",path_disclosure,7
"import discord, yaml, vroll, pgsql, re",sql_injection,6
"        c2.execute(""str$id"", (u_date, u_ordernum,  u_keynum, u_keysused, u_precount, u_postcount))        c3.execute(""str$id"", (u_postcount, u_keynum))",sql_injection,10
"         jc.pathcontainspredicate(         jc.pathpredicate(             ""str$id"",             jc.list_similar(expect_avail_zones)),         jc.pathelementscontainpredicate(",path_disclosure,5
       .add_constraint(jc.equivalent(expect_images))),path_disclosure,1
            p = eval(self.fp[i]),remote_code_execution,3
"            elif segments[num%id] == ""str$id"":                d = vdrive.get_private_root()                name = ""str$id""",xsrf,10
"            }, sort_keys=true))",xsrf,2
"    query = ""str$id""+start+""str$id""    cur.execute(query)",sql_injection,4
"            log.debug(""str$id"", n)",remote_code_execution,2
"        ssh_cmd = ""str$id"" % host_name",command_injection,5
"            query = query.order_by(order_column + ""str$id"" + order_direction)",sql_injection,7
"        url = ""str$id""        body = {""str$id"": ""str$id"", ""str$id"": ""str$id""}        response = self.client.post(url, data=json.dumps(body), content_type=""str$id"")        self.assertequal(response.status_code, num%id)",xsrf,16
"    def _store_xsrf_token(self, response):        xsrf_token = response.cookies.get(""str$id"")        if xsrf_token:            self.xsrf_token = xsrf_token        xsrf_header = {            ""str$id"": self.xsrf_token,        }        if ""str$id"" in kwargs:            kwargs[""str$id""].update(xsrf_header)            kwargs[""str$id""] = xsrf_header        self._store_xsrf_token(response)        self._store_xsrf_token(response)        self._store_xsrf_token(response)        self._store_xsrf_token(response)",xsrf,29
        return contents.decode(self.source_encoding),open_redirect,2
"        found_target_classes = set()        for tc in iter(target_classes):                found_target_classes.add(subject)                    found_target_classes.add(subject)        return found_node_targets.union(found_target_classes)        if self.is_property_shape:            raise notimplementederror(""str$id"")        else:            return focus    def validate(self, target_graph, focus=none):        results = {}        value_nodes = self.value_nodes(target_graph, focus)            res = c.evaluate(target_graph, value_nodes)            results[p] = res        return results",path_disclosure,38
"        response = self.client.post(url)        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.get(url)        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.get(url)",xsrf,24
"                 ""str$id"".format(today))            cursor = db.execute_query(query)",sql_injection,4
"    listview = transactionlist.as_view()    return listview(request, filter_data=filter_data)",open_redirect,6
"        ""str$id""",sql_injection,1
    return json.dumps([]),sql_injection,2
        response = self.client.get(url),xsrf,3
"      self.svcr.assertwhitelistedorxsrf(mc, self.request)      self.svcr.assertwhitelistedorxsrf(mc, self.request)    self.svcr.assertwhitelistedorxsrf(mc, self.request)  def testassertwhitelistedorxsrf_xsrftoken(self, mock_get_client_id):",xsrf,9
"      package_data={ ""str$id"": [""str$id"", ""str$id""] },",xsrf,5
"            method=""str$id""):",xsrf,1
"aws_base_url = ""str$id""cws_base_url = ""str$id""",xsrf,5
"from r2.lib.utils        import modhash, valid_hash, randstr ",xsrf,6
"    def _cmd_to_dict(self, cmd):        arg_list = cmd.split()",command_injection,6
"			if regex.match(field):				if any(keyword in field.lower() for keyword in blacklisted_keywords):				if any(""str$id"".format(keyword) in field.lower() \					for keyword in blacklisted_functions):",sql_injection,19
"        ""str$id"": buildbot.createbuildurl(master_name, builder_name, build_number),        ""str$id"": step_name,        ""str$id"": test_name,",xsrf,8
            p = eval(self.fp[i]),remote_code_execution,3
"    conn = sqlite3.connect(db_file)    print(""str$id"", sql)    return res",sql_injection,7
"if values:   # make sure not empty to split and then split on the comma    values = values.split(""str$id"")svalues = ""str$id""        svalues += ""str$id"" % value.strip()    svalues = svalues[:-num%id]",sql_injection,28
"    def _cli_run(self, verb, cli_args):        cli_arg_strings = []        if cli_args:            for k, v in cli_args.items():                if k == ""str$id"":                    cli_arg_strings.append(""str$id"" % k)                else:                    cli_arg_strings.append(""str$id"" % (k, v))        cmd = verb + ""str$id"".join(cli_arg_strings)",command_injection,31
"    arank = get_monthly_ranks_for_scene(db, ""str$id"", ""str$id"")",sql_injection,5
"    sql = ""str$id"".format(tag)    scenes = db.exec(sql)",sql_injection,6
"from flask import blueprint, request, make_response, jsonify    ""str$id""""str$id""""str$id""        post_data = request.get_json(force=true)        user = table.filter_by(post_data.get(""str$id""))                user = table.save(data=post_data)                    ""str$id"": user.get(""str$id""),                    ""str$id"": auth_token                    ""str$id"": ""str$id"",                    ""str$id"": ""str$id""                ""str$id"": ""str$id"",                ""str$id"": ""str$id"",        post_data = request.get_json(force=true)        table.delete(user_id, post_data)            ""str$id"": ""str$id"",            ""str$id"": ""str$id"",",sql_injection,38
"        out = self._cli_run(""str$id"", none)",command_injection,4
from google.appengine.api import users,xsrf,4
"        self.assertisnone(self.client.logout())        self.assertequal(response.status_code, num%id)",xsrf,3
from apiscan import scan_single_api,xss,4
"                   from layers.maille_1_2 as m where m.taille_maille=""str$id"" and st_within(m.geom,st_transform(st_makeenvelope(""str$id""""str$id""""str$id"", num%id),num%id))  ) as f)    db.cur.execute(sql)@addobs.route(""str$id"", methods=[""str$id"", ""str$id""])",sql_injection,16
import citest.json_contract as jc,path_disclosure,4
"""str$id"""" configuration variables for defining remote applications.",xsrf,7
"        help=""str$id"")",xsrf,1
"	c.execute(""str$id""+date+""str$id""+str(name)+""str$id""+race+""str$id""+classe+""str$id""+sex+""str$id""+str(level)+""str$id""+image+""str$id""+str(legit)+""str$id"")",sql_injection,1
"    def __init__(self, worker):        t = threading.thread(        t.daemon = true        t.start()",open_redirect,10
import citest.json_contract as jc,path_disclosure,4
"    sql = ""str$id""+str(player1)+""str$id""\            +""str$id""+str(player1)+""str$id""+str(player2)+""str$id""\            +""str$id""+str(player2)+""str$id""    result = db.exec(sql)",sql_injection,8
"		if d.fieldtype == ""str$id"": d.ignore_xss_filter = num%id",xss,7
                            return,remote_code_execution,1
                        break                if all_parents_dnr:,path_disclosure,3
"    diff_cmd = ""str$id""            staged_cmd = ""str$id"" % filename                file_contents=staged_contents.decode(),",command_injection,9
"            ""str$id"": {""str$id"": ""str$id""},    server = xsrf_client.xsrfremote(""str$id"")",xsrf,6
"        response = self.client.post(url)        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.get(url)        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.get(url)",xsrf,24
"from django.http import httpresponse, httpresponseredirectfrom django.shortcuts import get_object_or_404, render",open_redirect,9
"            ajax = ajax,",xsrf,3
"    annotated = flag(value, ""str$id"")",remote_code_execution,4
        self._headers = tornado.httputil.httpheaders(),xsrf,3
"                        expansion[i].append(iofile(e, rule=branch))",remote_code_execution,2
"    mysql = connecttomysql(""str$id"")    mysql = connecttomysql(""str$id"")    user = mysql.query_db(""str$id"".format(id))        mysql = connecttomysql(""str$id"")        query = ""str$id""",sql_injection,15
import redisimport timefrom ray.services import get_ip_addressfrom ray.services import get_port,open_redirect,9
"            where timestamp between %s and %s            group by timestamp        for row in self.c.execute(query % (month_start, month_end)):",sql_injection,16
"for carg in sys.argv:	if carg == ""str$id"":		arg_num = sys.argv.index(carg)		arg_num += num%id		if len(sys.argv) > arg_num:			uri = sys.argv[arg_num]injected_url = uri + ""str$id""resp = urllib.request.urlopen(injected_url)",sql_injection,27
"    path = posixpath.normpath(unquote(path))    path = path.lstrip(""str$id"")    newpath = ""str$id""    for part in path.split(""str$id""):        if not part:            continue        drive, part = os.path.splitdrive(part)        head, part = os.path.split(part)        if part in (os.curdir, os.pardir):            continue        newpath = os.path.join(newpath, part).replace(""str$id"", ""str$id"")    if newpath and path != newpath:        return httpresponseredirect(newpath)    fullpath = os.path.join(document_root, newpath)            return directory_index(newpath, fullpath)",open_redirect,51
"    response = requests.get( _builduri( ""str$id"" ) )",remote_code_execution,7
"    con = sqlite3.connect(""str$id"")    con.isolation_level = none    cur = con.cursor()    buffer = ""str$id""        if(i != arg_count):        elif(i == arg_count):            arg_string += (arg_values[i] + ""str$id"")",sql_injection,23
                    raise beon.permanenterror(,remote_code_execution,2
    if env.name == none:,sql_injection,4
"      params.insert(num%id, int(p, num%id))      params.insert(num%id, p)",path_disclosure,5
"        self.assertisnone(self.client.logout())        self.assertequal(response.status_code, num%id)",xsrf,3
"from sqlalchemy import exc, or_",open_redirect,5
"        cmd = ""str$id"" % src_name            cmd += ""str$id"" % snap_cpg            cmd += ""str$id""            cmd += cpg + ""str$id""        cmd += dest_name        self._cli_run(cmd, none)",command_injection,23
simulationmode = false,path_disclosure,3
"        response = self.client.post(url)        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.get(url)        response = self.client.get(url)        response = self.client.post(url, json.dumps(body), content_type=""str$id"")",xsrf,19
"                ""str$id""                (note.content, note.note_id))            cur.execute(""str$id"",                        (note.user_id, note.content))",sql_injection,6
"                if (r.roundplayer_set.count() % num%id) == num%id:                    return httpresponseredirect(reverse(""str$id"",                                                        args=(tournament_id,                                                              r.number())))                return httpresponseredirect(reverse(""str$id"",",open_redirect,12
"        out = self._cli_run(""str$id"", none)",command_injection,4
		self.set_order_by(args)		self.check_sort_by_table(args.order_by),sql_injection,2
"        cmd = (""str$id""               ""str$id""               ""str$id"")        pods_list = host.check_output(cmd)            cmd_logs = (""str$id""                        ""str$id"".format(                            pod_id))            res = host.check_output(cmd_logs)                assert len(res.strip()) > num%id, (",command_injection,21
"                c.execute(""str$id""+str(author.id)+""str$id"")            c.execute(""str$id""+author.name+""str$id""+author.id+""str$id""+str(author.bot)+""str$id""+author.avatar+""str$id""+str(author.created_at)+""str$id"")        c.execute(""str$id""+str(server.id)+""str$id"")            c.execute(""str$id""+server.name+""str$id""+server.id+""str$id""+server.owner.id+""str$id"")        print(message.edited_timestamp)        sql_command = message.id+""str$id""+str(message.edited_timestamp)+""str$id""+str(message.timestamp)+""str$id""+str(message.tts)+""str$id""+str(message.author.name)+""str$id""+str(message.author.id)+""str$id""+message.content+""str$id""+message.server.id+""str$id""+message.channel.id                print(sql_command)                c.execute(""str$id""+sql_command+""str$id"")",command_injection,10
    def _get_ancestors(self):        results = {}        for g in self.parent_groups:            results[g.name] = g            results.update(g._get_ancestors())        return results    def get_ancestors(self):        return self._get_ancestors().values(),path_disclosure,19
from odoo.addons.base_crapo_workflow.mixins import (,sql_injection,4
                raise exceptions.notfound(),path_disclosure,2
        doc_types = documenttype.objects.filter(group_type=this_type),open_redirect,3
"            / log_requests.total::numeric > {}            order by log_errors.date""str$id""'.format(error_percent)    rows = get_data(cur, query)",sql_injection,11
    if self._path_allowed(request.path):,xsrf,2
"        response = self.client.post(url)        response = self.client.get(url, content_type=""str$id"")        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.get(url, content_type=""str$id"")",xsrf,16
"        self.asserttrue(            self.client.login(username=""str$id"", password=""str$id""))        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        self.asserttrue(            self.client.login(username=""str$id"", password=""str$id""))        response = self.client.get(url)        response = self.client.get(url)        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.delete(url)",xsrf,25
        response = self.client.get(url),xsrf,3
"             ""str$id"".format(feature_type, feature))        cursor = db.execute_query(query)",sql_injection,5
"                ""str$id"": [""str$id""]",command_injection,2
"            cursor.execute(""str$id""""str$id""%s""str$id""""str$id"" % (result,game))",sql_injection,3
"                result.extend(map(lambda x:x.decode(""str$id""), data))                self.log.warn(""str$id"".\",remote_code_execution,4
"        ssh_cmd = (""str$id"" %                   {""str$id"": port1, ""str$id"": host_name})            ssh_cmd = (""str$id"" % (port, host_name))",command_injection,14
"    query = ""str$id""+asset_id+""str$id""    cur.execute(query)",sql_injection,4
    except redis.connectionerror:        pass,open_redirect,3
"                ""str$id"",(tuple(location_ids),tuple(location_ids),tuple(ids),tuple(states),)            )",sql_injection,2
"        return {""str$id"": err}",sql_injection,3
"    model = doc2vec.load(args.model_path)        application.run(host=""str$id"", debug=true)",sql_injection,5
"from .tasks import taskviewset, tasktiles, tasktilesjson, taskassets",path_disclosure,7
"        response = self.client.post(url)        response = self.client.get(url, content_type=""str$id"")",xsrf,7
  @property  def json(self):    return json.dumps(_data),xss,5
from future.utils import py3,remote_code_execution,4
"		and c.email_id=""str$id""""str$id"""".format(email_id=sender))",sql_injection,2
"        ssh_cmd = ""str$id"" % host_name",command_injection,5
"        cmd = ""str$id"" % host_name",command_injection,5
"    ""str$id""""str$id""content-type""str$id""text/html; charset=utf-num%id""str$id""""str$id"",",xss,2
"            query = game_query_builder(key, value, query)            games = game.query.filter(sqlalchemy.text(query)).all()            games = (game.query.filter(sqlalchemy.text(query)).filter(                game.categories.any(gamecategory.id == game_category)).all())",sql_injection,14
"                    if len(page) > num%id and len(params) > num%id:                        check_xss(host, page, rtype, params, hidden_param_name, hidden_param_value, form_counter, url)                        check_lfi(host, page, rtype, params, hidden_param_name, hidden_param_value, form_counter, url)",xss,24
"            where serial = %s;            ""str$id""' % inverter_serial        self.c.execute(query)",sql_injection,8
"    ""str$id""""str$id""""str$id""",remote_code_execution,1
"  def testcorpusercanscheduleanewanalysis(self, _):",xsrf,3
"        show_host_cmd = ""str$id""        create_host_cmd = (""str$id""                           ""str$id"")",command_injection,7
"        url_response = urllib2.urlopen(request, timeout=url_open_timeout).read()        url_response = urllib2.urlopen(url, encoded_data,                                       timeout=url_open_timeout).read()        url_response = urllib2.urlopen(url, timeout=url_open_timeout).read()",xsrf,13
"        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        self.assertequal(self.client.put(url).status_code, num%id)        self.assertequal(self.client.patch(url).status_code, num%id)        self.assertequal(self.client.delete(url).status_code, num%id)",xsrf,16
"	nastyext = template[""str$id""]	nastymime = getmime(extensions,nastyext)	nastyextvariants = template[""str$id""]	for t in techniques :		for nastyvariant in [nastyext]+nastyextvariants :			for legitext in up.validextensions :				legitmime = getmime(extensions,legitext)				mime = legitmime if t[""str$id""] == ""str$id"" else nastymime				suffix = t[""str$id""].replace(""str$id"",legitext).replace(""str$id"",nastyvariant)				attempts.append({""str$id"":suffix,""str$id"":mime,""str$id"":template[""str$id""]})",remote_code_execution,40
"        ssh_cmd = ""str$id""",command_injection,3
"                  ""str$id"" + selected_ay + ""str$id"" +\    db_cursor.execute(sql_command)",sql_injection,7
"    _default_handler = logging.streamhandler()    logger.addhandler(_default_handler)def try_update_handler(new_stream):    global _default_handler    logger = logging.getlogger(""str$id"")    if _default_handler:        new_handler = logging.streamhandler(stream=new_stream)        new_handler.setformatter(_default_handler.formatter)        _default_handler.close()        _default_handler = new_handler        logger.addhandler(_default_handler)",open_redirect,21
"        cluster = self.get_option(""str$id"") or ""str$id""        datacenter = self.get_option(""str$id"") or ""str$id""        self.dbcmd = ""str$id""        self.dbcmd += (""str$id""                       ""str$id""                       ""str$id""                       ""str$id"""" % (cluster, datacenter))",command_injection,22
        if self.column.render_function:            return self.column.render_function(self.object)        if type(self.object) == dict:,xss,8
"        cr.execute(""str$id""""str$id""""str$id"" %(""str$id"".join(map(lambda x: ""str$id"" + str(x) + ""str$id"", j_ids))))        journal_ids = map(lambda x1: x1[num%id], cr.fetchall())",sql_injection,15
"  remote = xsrf_client.xsrfremote(options.swarming_server)        options.in_file, remote, options.cost_usd_hour, options.start,        options.out_file, options.min_free_space)",xsrf,9
    def check_xsrf_cookie(self) -> bool:        return true,xsrf,6
"        cr.execute(""str$id""""str$id""""str$id"" %(""str$id"".join(map(lambda x: ""str$id"" + str(x) + ""str$id"", j_ids))))        journal_ids = map(lambda x1: x1[num%id], cr.fetchall())",sql_injection,15
"class createkeypair(quotakeypairmixin, tables.linkaction):    name = ""str$id""    url = ""str$id""    classes = (""str$id"",)        if super(createkeypair, self).allowed(request, keypair):",xsrf,16
"                            db.log_event_exception(                                ""str$id"")                            self.debugger.dut.serial.port+""str$id"" +",command_injection,4
"from r2.lib.utils        import modhash, valid_hash, randstr ",xsrf,6
"        query = (""str$id"" %                 (self.table, sid)        res = self._query(query)",sql_injection,9
"        out = self._cli_run(""str$id"" % (hostname), none)",command_injection,6
"from django.db import modelsfrom dashboard.models import commoninfoclass extractedlistpresence(commoninfo, rawchem):",open_redirect,9
        cursor.execute(query)        ,sql_injection,1
    with redirect_stdout(gui.log_stream):        exit_code = gui.exec(),open_redirect,5
"tokens = (""str$id"", ""str$id"", ""str$id"", ""str$id"", ""str$id"", ""str$id"")    r""str$id""    r""str$id""    t.value = beamr.interpreters.slide(t.value)    r""str$id""    r""str$id""t_text = r""str$id""",command_injection,17
"        generator = self._port_conf_generator(""str$id"")",command_injection,3
"        try:            data = json.loads(request.data)            jsonschema.validate(data, register_schema)        except (jsonschema.exceptions.validationerror, json.decoder.jsondecodeerror):            return {""str$id"": -num%id, ""str$id"": ""str$id""е""str$id""login""str$id""status""str$id""message""str$id""поле \""str$id"" должно состоять только из букв формата [a-z]'})",sql_injection,22
"			if name == ""str$id"" or name == ""str$id"":",command_injection,8
"            if view == ""str$id"":                self.status_view_fs(fs)            elif view.startswith(""str$id""):                self.status_view_targets(fs)            elif view.startswith(""str$id""):                self.status_view_disks(fs)            else:                raise commandbadparametererror(self.view_support.get_view(),                        ""str$id"")",remote_code_execution,15
"    def precmd(self, line):        cmds = self._decompose(line)        if len(cmds) > num%id:            self.cmdqueue.extend(cmds[num%id:])        return cmds[num%id]    def _decompose(self, line):        breakpoints = self._find_breakpoints(line)        inclusive_breakpoints = [num%id] + breakpoints + [len(line)]        cmds = []        for i in range(len(breakpoints) + num%id):            start = inclusive_breakpoints[i]            end = inclusive_breakpoints[i+num%id]            cmd = line[start:end]            if cmd and cmd[num%id] == ""str$id"":  # the first cmd fails this check                cmd = cmd[num%id:]            if cmd:  # catch empty cmds from dud-eol-semicolons                cmds.append(cmd.strip())        return cmds    def _find_breakpoints(self, line):        breakpoints = []        in_quote = false        for i, ch in enumerate(line):            if ch in [""str$id""""str$id""""str$id"";""str$id""#' and not in_quote:                break  # this is comment territory, ignore everything.        return breakpoints",command_injection,102
"                (""str$id"", models.foreignkey(related_name=""str$id"", to=""str$id"")),",sql_injection,3
"        response = self.client.post(url)        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.post(url, json.dumps(body), content_type=""str$id"")",xsrf,13
"            ""str$id"": [""str$id""`sleep $time`\""str$id"", ""str$id"", ""str$id""],",command_injection,5
"		blacklisted_keywords = [""str$id"", ""str$id"", ""str$id"", ""str$id"", ""str$id"", ""str$id"", ""str$id""]			frappe.throw(_(""str$id""), frappe.dataerror)",sql_injection,11
"    basename = basename.replace(""str$id"", ""str$id"")",path_disclosure,4
        response = self.client.get(url),xsrf,3
"                 f""str$id"")            cursor = db.execute_query(query)",sql_injection,4
            tornado.web.requesthandler.check_xsrf_cookie(self),xsrf,1
            return yaml.load(raw_source),remote_code_execution,2
from subprocess import check_output,command_injection,4
"    c.execute(""str$id"" % (table,))",sql_injection,3
"    with open(""str$id"", ""str$id"") as f:        raw_sql = f.read()    t = template(raw_sql)    with open(""str$id"", ""str$id"") as f:        raw_sql = f.read()    t = template(raw_sql)",sql_injection,22
"            query = ""str$id"".format(data)                cursor.execute(query)",sql_injection,4
"                assert session[""str$id""] == (""str$id"", ""str$id"")",xsrf,5
